2018-11-14 18:10:46 (11093851331810) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-14 18:12:11 (11179266899224) STATS -  5.00, 621, 0, 0.224995, 3.318142, 4.179828, 3.010561, 0.000000, 5.349096, 780, 0, 2329, 0.00, 0.00, 9
2018-11-14 18:12:12 (11179740936637) STATS - SET, 7.9, 37
2018-11-14 18:12:12 (11179741048941) STATS - SET, 8.0, 45
2018-11-14 18:12:12 (11179741168845) STATS - SET, 8.1, 39
2018-11-14 18:12:12 (11179741283349) STATS - SET, 8.2, 32
2018-11-14 18:12:12 (11179741413253) STATS - SET, 8.3, 14
2018-11-14 18:12:12 (11179741555558) STATS - SET, 8.4, 21
2018-11-14 18:12:12 (11179741680162) STATS - SET, 8.5, 14
2018-11-14 18:12:12 (11179741847368) STATS - SET, 8.6, 18
2018-11-14 18:12:12 (11179741967072) STATS - SET, 8.7, 18
2018-11-14 18:12:12 (11179748921509) STATS - SET, 8.8, 13
2018-11-14 18:12:12 (11179749062913) STATS - SET, 8.9, 13
2018-11-14 18:12:12 (11179749180117) STATS - SET, 9.0, 11
2018-11-14 18:12:12 (11179749299221) STATS - SET, 9.1, 11
2018-11-14 18:12:12 (11179749414925) STATS - SET, 9.2, 6
2018-11-14 18:12:12 (11179749528429) STATS - SET, 9.3, 13
2018-11-14 18:12:12 (11179749641733) STATS - SET, 9.4, 13
2018-11-14 18:12:12 (11179749794738) STATS - SET, 9.5, 32
2018-11-14 18:12:12 (11179749908242) STATS - SET, 9.6, 26
2018-11-14 18:12:12 (11179750021846) STATS - SET, 9.7, 25
2018-11-14 18:12:12 (11179750170651) STATS - SET, 9.8, 33
2018-11-14 18:12:12 (11179750285955) STATS - SET, 9.9, 69
2018-11-14 18:12:12 (11179750405459) STATS - SET, 10.0, 87
2018-11-14 18:12:12 (11179750593065) STATS - SET, 10.1, 36
2018-11-14 18:12:12 (11179750708069) STATS - SET, 10.2, 17
2018-11-14 18:12:12 (11179750818873) STATS - SET, 10.3, 8
2018-11-14 18:12:12 (11179750934177) STATS - SET, 10.4, 5
2018-11-14 18:12:12 (11179751044281) STATS - SET, 10.5, 4
2018-11-14 18:12:12 (11179751164385) STATS - SET, 10.6, 5
2018-11-14 18:12:12 (11179751307690) STATS - SET, 10.7, 6
2018-11-14 18:12:12 (11179751421994) STATS - SET, 10.8, 7
2018-11-14 18:12:12 (11179751603300) STATS - SET, 10.9, 4
2018-11-14 18:12:12 (11179758629639) STATS - SET, 11.0, 8
2018-11-14 18:12:12 (11179758794344) STATS - SET, 11.1, 3
2018-11-14 18:12:12 (11179758936749) STATS - SET, 11.2, 3
2018-11-14 18:12:12 (11179759065953) STATS - SET, 11.3, 7
2018-11-14 18:12:12 (11179759201258) STATS - SET, 11.4, 0
2018-11-14 18:12:12 (11179759318662) STATS - SET, 11.5, 4
2018-11-14 18:12:12 (11179759438766) STATS - SET, 11.6, 5
2018-11-14 18:12:12 (11179759557770) STATS - SET, 11.7, 2
2018-11-14 18:12:12 (11179759678174) STATS - SET, 11.8, 1
2018-11-14 18:12:12 (11179759802178) STATS - SET, 11.9, 6
2018-11-14 18:12:12 (11179759906182) STATS - SET, 12.0, 3
2018-11-14 18:12:12 (11179760048087) STATS - SET, 12.1, 0
2018-11-14 18:12:12 (11179760167691) STATS - SET, 12.2, 3
2018-11-14 18:12:12 (11179760272894) STATS - SET, 12.3, 4
2018-11-14 18:12:12 (11179760400499) STATS - SET, 12.4, 0
2018-11-14 18:12:12 (11179760504702) STATS - SET, 12.5, 0
2018-11-14 18:12:12 (11179760620406) STATS - SET, 12.6, 1
2018-11-14 18:12:12 (11179760745410) STATS - SET, 12.7, 4
2018-11-14 18:12:12 (11179760859014) STATS - SET, 12.8, 1
2018-11-14 18:12:12 (11179760965018) STATS - SET, 12.9, 1
2018-11-14 18:12:12 (11179761068621) STATS - SET, 13.0, 0
2018-11-14 18:12:12 (11179761175725) STATS - SET, 13.1, 0
2018-11-14 18:12:12 (11179768053959) STATS - SET, 13.2, 0
2018-11-14 18:12:12 (11179768170963) STATS - SET, 13.3, 0
2018-11-14 18:12:12 (11179768291367) STATS - SET, 13.4, 2
2018-11-14 18:12:12 (11179768409571) STATS - SET, 13.5, 1
2018-11-14 18:12:12 (11179768505274) STATS - SET, 13.6, 1
2018-11-14 18:12:12 (11179768627178) STATS - SET, 13.7, 0
2018-11-14 18:12:12 (11179768730982) STATS - SET, 13.8, 2
2018-11-14 18:12:12 (11179768855786) STATS - SET, 13.9, 1
2018-11-14 18:12:12 (11179768955690) STATS - SET, 14.0, 0
2018-11-14 18:12:12 (11179769073794) STATS - SET, 14.1, 1
2018-11-14 18:12:12 (11179769177497) STATS - SET, 14.2, 0
2018-11-14 18:12:12 (11179769277500) STATS - SET, 14.3, 2
2018-11-14 18:12:12 (11179769385704) STATS - SET, 14.4, 0
2018-11-14 18:12:12 (11179769552610) STATS - SET, 14.5, 0
2018-11-14 18:12:12 (11179769660513) STATS - SET, 14.6, 1
2018-11-14 18:12:12 (11179769788218) STATS - SET, 14.7, 3
2018-11-14 18:12:12 (11179769900322) STATS - SET, 14.8, 0
2018-11-14 18:12:12 (11179770007625) STATS - SET, 14.9, 0
2018-11-14 18:12:12 (11179770141730) STATS - SET, 15.0, 0
2018-11-14 18:12:12 (11179770236733) STATS - SET, 15.1, 0
2018-11-14 18:12:12 (11179770386138) STATS - SET, 15.2, 2
2018-11-14 18:12:12 (11179770508042) STATS - SET, 15.3, 1
2018-11-14 18:12:12 (11179770619746) STATS - SET, 15.4, 1
2018-11-14 18:12:12 (11179779805258) STATS - SET, 15.5, 0
2018-11-14 18:12:12 (11179779930963) STATS - SET, 15.6, 0
2018-11-14 18:12:12 (11179780079068) STATS - SET, 15.7, 1
2018-11-14 18:12:12 (11179780190171) STATS - SET, 15.8, 1
2018-11-14 18:12:12 (11179780329676) STATS - SET, 15.9, 1
2018-11-14 18:12:12 (11179780421979) STATS - SET, 16.0, 0
2018-11-14 18:12:12 (11179780581985) STATS - SET, 16.1, 0
2018-11-14 18:12:12 (11179781061301) STATS - SET, 16.2, 0
2018-11-14 18:12:12 (11179781179305) STATS - SET, 16.3, 0
2018-11-14 18:12:12 (11179781284209) STATS - SET, 16.4, 0
2018-11-14 18:12:12 (11179781410413) STATS - SET, 16.5, 0
2018-11-14 18:12:12 (11179781511516) STATS - SET, 16.6, 0
2018-11-14 18:12:12 (11179781612420) STATS - SET, 16.7, 0
2018-11-14 18:12:12 (11179781729024) STATS - SET, 16.8, 1
2018-11-14 18:12:12 (11179781827827) STATS - SET, 16.9, 1
2018-11-14 18:12:12 (11179782025534) STATS - SET, 17.0, 2
2018-11-14 18:12:12 (11179782132437) STATS - SET, 17.1, 1
2018-11-14 18:12:12 (11179782236841) STATS - SET, 17.2, 1
2018-11-14 18:12:12 (11179787103306) STATS - SET, 17.3, 0
2018-11-14 18:12:12 (11179787249411) STATS - SET, 17.4, 2
2018-11-14 18:12:12 (11179787348815) STATS - SET, 17.5, 0
2018-11-14 18:12:12 (11179787449418) STATS - SET, 17.6, 0
2018-11-14 18:12:12 (11179787556822) STATS - SET, 17.7, 0
2018-11-14 18:12:12 (11179787652925) STATS - SET, 17.8, 1
2018-11-14 18:12:12 (11179787759129) STATS - SET, 17.9, 0
2018-11-14 18:12:12 (11179787878433) STATS - SET, 18.0, 0
2018-11-14 18:12:12 (11179787976436) STATS - SET, 18.1, 0
2018-11-14 18:12:12 (11179788105340) STATS - SET, 18.2, 0
2018-11-14 18:12:12 (11179788239645) STATS - SET, 18.3, 0
2018-11-14 18:12:12 (11179788344549) STATS - SET, 18.4, 0
2018-11-14 18:12:12 (11179788445452) STATS - SET, 18.5, 0
2018-11-14 18:12:12 (11179788568156) STATS - SET, 18.6, 0
2018-11-14 18:12:12 (11179788672560) STATS - SET, 18.7, 0
2018-11-14 18:12:12 (11179788787064) STATS - SET, 18.8, 1
2018-11-14 18:12:12 (11179788903968) STATS - SET, 18.9, 0
2018-11-14 18:12:12 (11179788993271) STATS - SET, 19.0, 0
2018-11-14 18:12:12 (11179789082974) STATS - SET, 19.1, 0
2018-11-14 18:12:12 (11179789204378) STATS - SET, 19.2, 0
2018-11-14 18:12:12 (11179789303081) STATS - SET, 19.3, 0
2018-11-14 18:12:12 (11179789404085) STATS - SET, 19.4, 1
2018-11-14 18:12:12 (11179789642393) STATS - SET, 19.5, 0
2018-11-14 18:12:12 (11179789743396) STATS - SET, 19.6, 0
2018-11-14 18:12:12 (11179789863900) STATS - SET, 19.7, 0
2018-11-14 18:12:12 (11179796703133) STATS - SET, 19.8, 0
2018-11-14 18:12:12 (11179796840237) STATS - SET, 19.9, 1
2018-11-14 18:12:12 (11179796931240) STATS - SET, 20.0, 1
2018-11-14 18:12:12 (11179797017943) STATS - SET, 20.1, 0
2018-11-14 18:12:12 (11179797117247) STATS - SET, 20.2, 0
2018-11-14 18:12:12 (11179797211150) STATS - SET, 20.3, 0
2018-11-14 18:12:12 (11179797302853) STATS - SET, 20.4, 0
2018-11-14 18:12:12 (11179797393456) STATS - SET, 20.5, 0
2018-11-14 18:12:12 (11179797505560) STATS - SET, 20.6, 0
2018-11-14 18:12:12 (11179797596463) STATS - SET, 20.7, 0
2018-11-14 18:12:12 (11179797687666) STATS - SET, 20.8, 0
2018-11-14 18:12:12 (11179797784769) STATS - SET, 20.9, 0
2018-11-14 18:12:12 (11179797867972) STATS - SET, 21.0, 1
2018-11-14 18:12:12 (11179797953575) STATS - SET, 21.1, 0
2018-11-14 18:12:12 (11179798054379) STATS - SET, 21.2, 0
2018-11-14 18:12:12 (11179798148282) STATS - SET, 21.3, 0
2018-11-14 18:12:12 (11179798238185) STATS - SET, 21.4, 0
2018-11-14 18:12:12 (11179798338388) STATS - SET, 21.5, 0
2018-11-14 18:12:12 (11179798424391) STATS - SET, 21.6, 0
2018-11-14 18:12:12 (11179798637198) STATS - SET, 21.7, 0
2018-11-14 18:12:12 (11179798730802) STATS - SET, 21.8, 0
2018-11-14 18:12:12 (11179798845506) STATS - SET, 21.9, 0
2018-11-14 18:12:12 (11179798962109) STATS - SET, 22.0, 0
2018-11-14 18:12:12 (11179799056813) STATS - SET, 22.1, 0
2018-11-14 18:12:12 (11179799156316) STATS - SET, 22.2, 1
2018-11-14 18:12:12 (11179799251719) STATS - SET, 22.3, 0
