Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
GET, 2.4, 1357
GET, 2.5, 1510
GET, 2.6, 1464
GET, 2.7, 1374
GET, 2.8, 1249
GET, 2.9, 1161
GET, 3.0, 1025
GET, 3.1, 960
GET, 3.2, 852
GET, 3.3, 765
GET, 3.4, 722
GET, 3.5, 605
GET, 3.6, 593
GET, 3.7, 557
GET, 3.8, 546
GET, 3.9, 486
GET, 4.0, 413
GET, 4.1, 391
GET, 4.2, 340
GET, 4.3, 311
GET, 4.4, 266
GET, 4.5, 283
GET, 4.6, 249
GET, 4.7, 249
GET, 4.8, 199
GET, 4.9, 186
GET, 5.0, 188
GET, 5.1, 203
GET, 5.2, 197
GET, 5.3, 188
GET, 5.4, 168
GET, 5.5, 185
GET, 5.6, 179
GET, 5.7, 190
GET, 5.8, 158
GET, 5.9, 134
GET, 6.0, 141
GET, 6.1, 147
GET, 6.2, 141
GET, 6.3, 135
GET, 6.4, 153
GET, 6.5, 187
GET, 6.6, 145
GET, 6.7, 126
GET, 6.8, 177
GET, 6.9, 142
GET, 7.0, 154
GET, 7.1, 156
GET, 7.2, 132
GET, 7.3, 141
GET, 7.4, 171
GET, 7.5, 161
GET, 7.6, 175
GET, 7.7, 205
GET, 7.8, 179
GET, 7.9, 195
GET, 8.0, 196
GET, 8.1, 230
GET, 8.2, 228
GET, 8.3, 231
GET, 8.4, 233
GET, 8.5, 239
GET, 8.6, 224
GET, 8.7, 206
GET, 8.8, 203
GET, 8.9, 197
GET, 9.0, 198
GET, 9.1, 158
GET, 9.2, 163
GET, 9.3, 163
GET, 9.4, 151
GET, 9.5, 126
GET, 9.6, 130
GET, 9.7, 139
GET, 9.8, 141
GET, 9.9, 161
GET, 10.0, 149
GET, 10.1, 180
GET, 10.2, 202
GET, 10.3, 185
GET, 10.4, 158
GET, 10.5, 197
GET, 10.6, 206
GET, 10.7, 191
GET, 10.8, 191
GET, 10.9, 178
GET, 11.0, 183
GET, 11.1, 141
GET, 11.2, 105
GET, 11.3, 102
GET, 11.4, 81
GET, 11.5, 73
GET, 11.6, 51
GET, 11.7, 71
GET, 11.8, 53
GET, 11.9, 51
GET, 12.0, 52
GET, 12.1, 44
GET, 12.2, 48
GET, 12.3, 38
GET, 12.4, 36
GET, 12.5, 39
GET, 12.6, 46
GET, 12.7, 42
GET, 12.8, 43
GET, 12.9, 25
GET, 13.0, 36
GET, 13.1, 31
GET, 13.2, 38
GET, 13.3, 30
GET, 13.4, 24
GET, 13.5, 31
GET, 13.6, 23
GET, 13.7, 20
GET, 13.8, 16
GET, 13.9, 21
GET, 14.0, 20
GET, 14.1, 16
GET, 14.2, 26
GET, 14.3, 13
GET, 14.4, 14
GET, 14.5, 20
GET, 14.6, 19
GET, 14.7, 11
GET, 14.8, 19
GET, 14.9, 3
GET, 15.0, 12
GET, 15.1, 13
GET, 15.2, 15
GET, 15.3, 15
GET, 15.4, 12
GET, 15.5, 11
GET, 15.6, 16
GET, 15.7, 12
GET, 15.8, 10
GET, 15.9, 12
GET, 16.0, 13
GET, 16.1, 5
GET, 16.2, 8
GET, 16.3, 11
GET, 16.4, 10
GET, 16.5, 10
GET, 16.6, 8
GET, 16.7, 4
GET, 16.8, 11
GET, 16.9, 14
GET, 17.0, 11
GET, 17.1, 5
GET, 17.2, 9
GET, 17.3, 10
GET, 17.4, 16
GET, 17.5, 6
GET, 17.6, 7
GET, 17.7, 11
GET, 17.8, 8
GET, 17.9, 5
GET, 18.0, 2
GET, 18.1, 8
GET, 18.2, 13
GET, 18.3, 9
GET, 18.4, 8
GET, 18.5, 3
GET, 18.6, 7
GET, 18.7, 4
GET, 18.8, 4
GET, 18.9, 11
GET, 19.0, 2
GET, 19.1, 4
GET, 19.2, 10
GET, 19.3, 6
GET, 19.4, 11
GET, 19.5, 4
GET, 19.6, 3
GET, 19.7, 3
GET, 19.8, 5
GET, 19.9, 10
GET, 20.0, 6
GET, 20.1, 5
GET, 20.2, 6
GET, 20.3, 2
GET, 20.4, 5
GET, 20.5, 3
GET, 20.6, 1
GET, 20.7, 0
GET, 20.8, 5
GET, 20.9, 2
GET, 21.0, 4
GET, 21.1, 4
GET, 21.2, 6
GET, 21.3, 4
GET, 21.4, 4
GET, 21.5, 0
GET, 21.6, 0
GET, 21.7, 1
GET, 21.8, 0
GET, 21.9, 2
GET, 22.0, 1
GET, 22.1, 1
GET, 22.2, 1
GET, 22.3, 1
GET, 22.4, 2
GET, 22.5, 1
GET, 22.6, 1
GET, 22.7, 1
GET, 22.8, 2
GET, 22.9, 2
GET, 23.0, 0
GET, 23.1, 1
GET, 23.2, 1
GET, 23.3, 1
GET, 23.4, 3
GET, 23.5, 1
GET, 23.6, 1
GET, 23.7, 0
GET, 23.8, 0
GET, 23.9, 1
GET, 24.0, 2
GET, 24.1, 0
GET, 24.2, 2
GET, 24.3, 0
GET, 24.4, 0
GET, 24.5, 0
GET, 24.6, 0
GET, 24.7, 1
GET, 24.8, 1
GET, 24.9, 0
GET, 25.0, 0
GET, 25.1, 0
GET, 25.2, 2
GET, 25.3, 1
GET, 25.4, 0
GET, 25.5, 0
GET, 25.6, 1
GET, 25.7, 0
GET, 25.8, 0
GET, 25.9, 0
GET, 26.0, 0
GET, 26.1, 0
GET, 26.2, 0
GET, 26.3, 0
GET, 26.4, 0
GET, 26.5, 1
GET, 26.6, 1
GET, 26.7, 0
GET, 26.8, 0
GET, 26.9, 0
GET, 27.0, 1
GET, 27.1, 2
GET, 27.2, 1
GET, 27.3, 1
GET, 27.4, 0
GET, 27.5, 0
GET, 27.6, 0
GET, 27.7, 0
GET, 27.8, 0
GET, 27.9, 1
GET, 28.0, 0
GET, 28.1, 1
GET, 28.2, 4
GET, 28.3, 1
GET, 28.4, 0
GET, 28.5, 1
GET, 28.6, 1
GET, 28.7, 0
GET, 28.8, 0
GET, 28.9, 1
GET, 29.0, 1
GET, 29.1, 1
GET, 29.2, 0
GET, 29.3, 0
GET, 29.4, 0
GET, 29.5, 0
GET, 29.6, 0
GET, 29.7, 2
GET, 29.8, 0
GET, 29.9, 1
GET, 30.0, 0
GET, 30.1, 0
GET, 30.2, 0
GET, 30.3, 0
GET, 30.4, 0
GET, 30.5, 0
GET, 30.6, 0
GET, 30.7, 0
