Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 26.3, 54
SET, 26.4, 43
SET, 26.5, 41
SET, 26.6, 39
SET, 26.7, 35
SET, 26.8, 44
SET, 26.9, 45
SET, 27.0, 36
SET, 27.1, 38
SET, 27.2, 39
SET, 27.3, 43
SET, 27.4, 47
SET, 27.5, 39
SET, 27.6, 47
SET, 27.7, 34
SET, 27.8, 44
SET, 27.9, 27
SET, 28.0, 34
SET, 28.1, 41
SET, 28.2, 38
SET, 28.3, 39
SET, 28.4, 41
SET, 28.5, 38
SET, 28.6, 32
SET, 28.7, 25
SET, 28.8, 21
SET, 28.9, 27
SET, 29.0, 19
SET, 29.1, 18
SET, 29.2, 17
SET, 29.3, 25
SET, 29.4, 26
SET, 29.5, 20
SET, 29.6, 29
SET, 29.7, 19
SET, 29.8, 23
SET, 29.9, 27
SET, 30.0, 18
SET, 30.1, 16
SET, 30.2, 13
SET, 30.3, 13
SET, 30.4, 17
SET, 30.5, 30
SET, 30.6, 20
SET, 30.7, 19
SET, 30.8, 12
SET, 30.9, 9
SET, 31.0, 13
SET, 31.1, 18
SET, 31.2, 13
SET, 31.3, 15
SET, 31.4, 15
SET, 31.5, 18
SET, 31.6, 19
SET, 31.7, 19
SET, 31.8, 15
SET, 31.9, 17
SET, 32.0, 18
SET, 32.1, 11
SET, 32.2, 14
SET, 32.3, 7
SET, 32.4, 16
SET, 32.5, 14
SET, 32.6, 13
SET, 32.7, 14
SET, 32.8, 13
SET, 32.9, 17
SET, 33.0, 13
SET, 33.1, 18
SET, 33.2, 9
SET, 33.3, 13
SET, 33.4, 20
SET, 33.5, 9
SET, 33.6, 9
SET, 33.7, 13
SET, 33.8, 8
SET, 33.9, 10
SET, 34.0, 15
SET, 34.1, 12
SET, 34.2, 18
SET, 34.3, 7
SET, 34.4, 10
