Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 29.3, 1535
SET, 29.4, 1498
SET, 29.5, 1494
SET, 29.6, 1496
SET, 29.7, 1445
SET, 29.8, 1376
SET, 29.9, 1368
SET, 30.0, 1344
SET, 30.1, 1364
SET, 30.2, 1229
SET, 30.3, 1238
SET, 30.4, 1226
SET, 30.5, 1177
SET, 30.6, 1248
SET, 30.7, 1157
SET, 30.8, 1148
SET, 30.9, 1124
SET, 31.0, 1100
SET, 31.1, 1123
SET, 31.2, 1048
SET, 31.3, 1023
SET, 31.4, 946
SET, 31.5, 992
SET, 31.6, 925
SET, 31.7, 937
SET, 31.8, 921
SET, 31.9, 859
SET, 32.0, 916
SET, 32.1, 883
SET, 32.2, 839
SET, 32.3, 859
SET, 32.4, 791
SET, 32.5, 798
SET, 32.6, 771
SET, 32.7, 746
SET, 32.8, 693
SET, 32.9, 670
SET, 33.0, 650
SET, 33.1, 677
SET, 33.2, 712
SET, 33.3, 660
SET, 33.4, 618
SET, 33.5, 627
SET, 33.6, 599
SET, 33.7, 599
SET, 33.8, 581
SET, 33.9, 566
SET, 34.0, 557
SET, 34.1, 511
SET, 34.2, 505
SET, 34.3, 494
SET, 34.4, 472
SET, 34.5, 451
SET, 34.6, 470
SET, 34.7, 449
SET, 34.8, 458
SET, 34.9, 416
SET, 35.0, 405
SET, 35.1, 379
SET, 35.2, 379
SET, 35.3, 386
SET, 35.4, 405
SET, 35.5, 335
SET, 35.6, 373
SET, 35.7, 327
SET, 35.8, 320
SET, 35.9, 313
SET, 36.0, 276
SET, 36.1, 313
SET, 36.2, 286
SET, 36.3, 306
SET, 36.4, 299
SET, 36.5, 260
SET, 36.6, 277
SET, 36.7, 280
SET, 36.8, 246
SET, 36.9, 258
SET, 37.0, 216
SET, 37.1, 236
SET, 37.2, 216
SET, 37.3, 253
SET, 37.4, 234
SET, 37.5, 205
SET, 37.6, 243
SET, 37.7, 243
SET, 37.8, 200
SET, 37.9, 185
SET, 38.0, 223
SET, 38.1, 206
SET, 38.2, 185
SET, 38.3, 196
SET, 38.4, 178
SET, 38.5, 177
SET, 38.6, 185
SET, 38.7, 143
SET, 38.8, 162
SET, 38.9, 169
SET, 39.0, 165
SET, 39.1, 139
SET, 39.2, 141
SET, 39.3, 176
SET, 39.4, 146
SET, 39.5, 139
SET, 39.6, 138
SET, 39.7, 139
SET, 39.8, 129
SET, 39.9, 131
SET, 40.0, 118
SET, 40.1, 129
SET, 40.2, 107
SET, 40.3, 116
SET, 40.4, 119
SET, 40.5, 127
SET, 40.6, 106
SET, 40.7, 117
SET, 40.8, 96
SET, 40.9, 96
SET, 41.0, 89
SET, 41.1, 89
SET, 41.2, 103
SET, 41.3, 77
SET, 41.4, 88
SET, 41.5, 75
SET, 41.6, 80
SET, 41.7, 73
SET, 41.8, 88
SET, 41.9, 85
SET, 42.0, 68
SET, 42.1, 78
SET, 42.2, 63
SET, 42.3, 68
SET, 42.4, 54
SET, 42.5, 54
SET, 42.6, 61
SET, 42.7, 57
SET, 42.8, 51
SET, 42.9, 51
SET, 43.0, 59
SET, 43.1, 58
SET, 43.2, 47
SET, 43.3, 49
SET, 43.4, 57
SET, 43.5, 67
SET, 43.6, 46
SET, 43.7, 48
SET, 43.8, 33
SET, 43.9, 50
SET, 44.0, 41
SET, 44.1, 48
SET, 44.2, 38
SET, 44.3, 40
SET, 44.4, 41
SET, 44.5, 31
SET, 44.6, 42
SET, 44.7, 44
SET, 44.8, 34
SET, 44.9, 46
SET, 45.0, 49
SET, 45.1, 36
SET, 45.2, 34
SET, 45.3, 46
SET, 45.4, 43
SET, 45.5, 31
SET, 45.6, 39
SET, 45.7, 40
SET, 45.8, 28
SET, 45.9, 37
SET, 46.0, 32
SET, 46.1, 31
SET, 46.2, 31
SET, 46.3, 38
SET, 46.4, 28
SET, 46.5, 30
SET, 46.6, 39
SET, 46.7, 31
SET, 46.8, 28
SET, 46.9, 35
SET, 47.0, 18
SET, 47.1, 37
SET, 47.2, 27
SET, 47.3, 23
SET, 47.4, 21
SET, 47.5, 41
SET, 47.6, 38
SET, 47.7, 21
SET, 47.8, 29
SET, 47.9, 34
SET, 48.0, 36
SET, 48.1, 37
SET, 48.2, 39
SET, 48.3, 31
SET, 48.4, 36
SET, 48.5, 32
SET, 48.6, 42
SET, 48.7, 43
SET, 48.8, 21
SET, 48.9, 33
SET, 49.0, 25
SET, 49.1, 34
SET, 49.2, 34
SET, 49.3, 26
SET, 49.4, 25
SET, 49.5, 28
SET, 49.6, 33
SET, 49.7, 40
SET, 49.8, 34
SET, 49.9, 34
SET, 50.0, 32
SET, 50.1, 29
SET, 50.2, 38
SET, 50.3, 22
SET, 50.4, 32
SET, 50.5, 30
SET, 50.6, 31
SET, 50.7, 37
SET, 50.8, 31
SET, 50.9, 24
SET, 51.0, 30
SET, 51.1, 21
SET, 51.2, 24
SET, 51.3, 23
SET, 51.4, 21
SET, 51.5, 27
SET, 51.6, 25
SET, 51.7, 16
SET, 51.8, 22
SET, 51.9, 29
SET, 52.0, 24
SET, 52.1, 19
SET, 52.2, 23
SET, 52.3, 31
SET, 52.4, 27
SET, 52.5, 24
SET, 52.6, 30
SET, 52.7, 31
SET, 52.8, 27
SET, 52.9, 30
SET, 53.0, 24
SET, 53.1, 24
SET, 53.2, 21
SET, 53.3, 31
SET, 53.4, 25
SET, 53.5, 30
SET, 53.6, 32
SET, 53.7, 33
SET, 53.8, 20
SET, 53.9, 23
SET, 54.0, 27
SET, 54.1, 25
SET, 54.2, 27
SET, 54.3, 26
SET, 54.4, 15
SET, 54.5, 19
SET, 54.6, 23
SET, 54.7, 11
SET, 54.8, 32
SET, 54.9, 12
SET, 55.0, 16
SET, 55.1, 21
SET, 55.2, 20
SET, 55.3, 23
SET, 55.4, 17
SET, 55.5, 20
SET, 55.6, 11
SET, 55.7, 24
SET, 55.8, 16
SET, 55.9, 19
SET, 56.0, 23
SET, 56.1, 29
SET, 56.2, 29
SET, 56.3, 27
SET, 56.4, 19
SET, 56.5, 17
SET, 56.6, 17
SET, 56.7, 26
SET, 56.8, 16
SET, 56.9, 11
SET, 57.0, 21
SET, 57.1, 12
SET, 57.2, 15
SET, 57.3, 16
SET, 57.4, 21
SET, 57.5, 7
SET, 57.6, 14
SET, 57.7, 13
SET, 57.8, 13
SET, 57.9, 6
SET, 58.0, 10
SET, 58.1, 8
SET, 58.2, 11
SET, 58.3, 19
SET, 58.4, 15
SET, 58.5, 15
SET, 58.6, 14
SET, 58.7, 12
SET, 58.8, 18
SET, 58.9, 12
