2018-11-20 14:40:20 (3096158428105) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:41:45 (3181554802338) STATS -  5.00, 3782, 76, 19.699389, 1.788661, 21.577400, 21.577400, 0.000000, 0.000000, 18913, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:47 (3183394480826) STATS - SET, 9.1, 69
2018-11-20 14:41:47 (3183394563026) STATS - SET, 9.2, 100
2018-11-20 14:41:47 (3183394695626) STATS - SET, 9.3, 109
2018-11-20 14:41:47 (3183394789226) STATS - SET, 9.4, 142
2018-11-20 14:41:47 (3183394878626) STATS - SET, 9.5, 142
2018-11-20 14:41:47 (3183402189826) STATS - SET, 9.6, 230
2018-11-20 14:41:47 (3183402339027) STATS - SET, 9.7, 236
2018-11-20 14:41:47 (3183402431627) STATS - SET, 9.8, 271
2018-11-20 14:41:47 (3183402537827) STATS - SET, 9.9, 298
2018-11-20 14:41:47 (3183402623327) STATS - SET, 10.0, 357
2018-11-20 14:41:47 (3183402704327) STATS - SET, 10.1, 429
2018-11-20 14:41:47 (3183402815327) STATS - SET, 10.2, 457
2018-11-20 14:41:47 (3183402970627) STATS - SET, 10.3, 546
2018-11-20 14:41:47 (3183403096227) STATS - SET, 10.4, 645
2018-11-20 14:41:47 (3183403194827) STATS - SET, 10.5, 665
2018-11-20 14:41:47 (3183403271227) STATS - SET, 10.6, 738
2018-11-20 14:41:47 (3183403490327) STATS - SET, 10.7, 798
2018-11-20 14:41:47 (3183404452027) STATS - SET, 10.8, 912
2018-11-20 14:41:47 (3183404552527) STATS - SET, 10.9, 950
2018-11-20 14:41:47 (3183404655727) STATS - SET, 11.0, 990
2018-11-20 14:41:47 (3183404779027) STATS - SET, 11.1, 1144
2018-11-20 14:41:47 (3183404886627) STATS - SET, 11.2, 1240
2018-11-20 14:41:47 (3183404994227) STATS - SET, 11.3, 1306
2018-11-20 14:41:47 (3183405068527) STATS - SET, 11.4, 1302
2018-11-20 14:41:47 (3183405141727) STATS - SET, 11.5, 1419
2018-11-20 14:41:47 (3183405236427) STATS - SET, 11.6, 1498
2018-11-20 14:41:47 (3183405311827) STATS - SET, 11.7, 1518
2018-11-20 14:41:47 (3183405412827) STATS - SET, 11.8, 1558
2018-11-20 14:41:47 (3183405487427) STATS - SET, 11.9, 1621
2018-11-20 14:41:47 (3183405581527) STATS - SET, 12.0, 1734
2018-11-20 14:41:47 (3183411900727) STATS - SET, 12.1, 1750
2018-11-20 14:41:47 (3183412119927) STATS - SET, 12.2, 1774
2018-11-20 14:41:47 (3183412252027) STATS - SET, 12.3, 1950
2018-11-20 14:41:47 (3183412319227) STATS - SET, 12.4, 1904
2018-11-20 14:41:47 (3183412617027) STATS - SET, 12.5, 1971
2018-11-20 14:41:47 (3183412684327) STATS - SET, 12.6, 2092
