ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
0:1,32,24,3,1,1,976.6,49.09300000000001
0:1,32,24,3,2,1,977.06,49.0846
0:1,32,24,3,3,1,980.14,48.92920000000001
0:1,32,32,1,1,1,983.52,65.012
0:1,32,32,1,2,1,978.36,65.35380000000002
0:1,32,32,1,3,1,986.2,64.83200000000001
0:1,32,32,2,1,1,976.14,65.49700000000001
0:1,32,32,2,2,1,977.86,65.37660000000002
0:1,32,32,2,3,1,980.3,65.215
0:1,32,32,3,1,1,969.7,66.1346
0:1,32,32,3,2,1,958.8,67.05619999999998
0:1,32,32,3,3,1,976.7,65.67559999999997
0:1,64,1,1,1,1,643.52,3.100000000000001
0:1,64,1,1,2,1,707.46,2.822800000000001
0:1,64,1,1,3,1,711.96,2.8027999999999995
0:1,64,1,2,1,1,680.32,2.9369999999999994
0:1,64,1,2,2,1,754.98,2.6472000000000007
0:1,64,1,2,3,1,774.16,2.5816
0:1,64,1,3,1,1,705.28,2.837000000000001
0:1,64,1,3,2,1,760.96,2.6289999999999996
0:1,64,1,3,3,1,776.84,2.5709999999999997
0:1,64,4,1,1,1,959.74,8.327000000000004
0:1,64,4,1,2,1,969.96,8.281800000000002
0:1,64,4,1,3,1,1009.48,7.921800000000004
0:1,64,4,2,1,1,948.62,8.534399999999998
0:1,64,4,2,2,1,934.82,8.718400000000003
0:1,64,4,2,3,1,987.32,8.2056
0:1,64,4,3,1,1,953.98,8.3746
0:1,64,4,3,2,1,986.52,8.0988
0:1,64,4,3,3,1,1000.22,7.985400000000001
0:1,64,8,1,1,1,978.46,16.331
0:1,64,8,1,2,1,978.32,16.3378
0:1,64,8,1,3,1,985.6,16.224000000000004
0:1,64,8,2,1,1,975.16,16.4226
0:1,64,8,2,2,1,972.18,16.4432
0:1,64,8,2,3,1,967.38,16.533000000000005
0:1,64,8,3,1,1,989.36,16.156999999999996
0:1,64,8,3,2,1,979.92,16.329800000000006
0:1,64,8,3,3,1,981.56,16.285800000000002
0:1,64,16,1,1,1,966.62,33.0784
0:1,64,16,1,2,1,977.96,32.69540000000001
0:1,64,16,1,3,1,1000.26,31.961799999999997
0:1,64,16,2,1,1,972.76,32.864000000000004
0:1,64,16,2,2,1,973.02,32.85119999999999
0:1,64,16,2,3,1,980.16,32.6222
0:1,64,16,3,1,1,988.66,32.416999999999994
0:1,64,16,3,2,1,928.34,35.172799999999995
0:1,64,16,3,3,1,1028.4,31.173400000000004
0:1,64,24,1,1,1,961.54,50.023999999999994
0:1,64,24,1,2,1,973.06,49.52860000000001
0:1,64,24,1,3,1,980.82,49.156000000000006
0:1,64,24,2,1,1,967.34,49.623599999999996
0:1,64,24,2,2,1,963.4,49.855999999999995
0:1,64,24,2,3,1,986.22,48.66659999999999
0:1,64,24,3,1,1,977.12,49.079600000000006
0:1,64,24,3,2,1,981.32,48.97740000000001
0:1,64,24,3,3,1,991.26,48.39679999999999
0:1,64,32,1,1,1,977.82,65.413
0:1,64,32,1,2,1,982.1,65.21199999999997
0:1,64,32,1,3,1,996.06,64.22279999999998
0:1,64,32,2,1,1,976.66,65.47839999999998
0:1,64,32,2,2,1,982.18,65.0984
0:1,64,32,2,3,1,979.66,65.28220000000002
0:1,64,32,3,1,1,982.92,65.1638
0:1,64,32,3,2,1,963.1,66.9828
0:1,64,32,3,3,1,999.34,64.09479999999999
1:0,8,1,1,1,1,655.66,3.048600000000001
1:0,8,1,1,2,1,668.4,2.987799999999999
1:0,8,1,1,3,1,705.96,2.8284000000000002
1:0,8,1,2,1,1,636.82,3.1344
1:0,8,1,2,2,1,658.42,3.0329999999999995
1:0,8,1,2,3,1,663.44,3.0071999999999997
1:0,8,1,3,1,1,675.9,2.9536000000000002
1:0,8,1,3,2,1,704.24,2.8362
1:0,8,1,3,3,1,704.56,2.8334
1:0,8,4,1,1,1,1533.94,5.365200000000001
1:0,8,4,1,2,1,1679.78,5.0066
1:0,8,4,1,3,1,1674.22,4.997399999999999
1:0,8,4,2,1,1,1560.34,5.132399999999999
1:0,8,4,2,2,1,1677.8,4.775199999999999
1:0,8,4,2,3,1,1748.98,4.580599999999999
1:0,8,4,3,1,1,1639.38,4.884
1:0,8,4,3,2,1,1817.26,4.403400000000001
1:0,8,4,3,3,1,1787.1,4.476600000000001
1:0,8,8,1,1,1,2216.66,7.470399999999997
1:0,8,8,1,2,1,2093.08,7.921599999999999
1:0,8,8,1,3,1,2291.76,7.351200000000001
1:0,8,8,2,1,1,2226.64,7.192199999999998
1:0,8,8,2,2,1,2124.72,7.534800000000001
1:0,8,8,2,3,1,2335.7,6.857200000000001
1:0,8,8,3,1,1,2260.84,7.114400000000001
1:0,8,8,3,2,1,2169.64,7.432000000000001
1:0,8,8,3,3,1,2322.02,6.944399999999998
1:0,8,16,1,1,1,2441.62,13.125800000000002
1:0,8,16,1,2,1,2436.98,13.145399999999997
1:0,8,16,1,3,1,2484.94,12.894000000000004
1:0,8,16,2,1,1,2283.24,14.026399999999997
1:0,8,16,2,2,1,2282.94,14.025200000000002
1:0,8,16,2,3,1,2321.1,13.7974
1:0,8,16,3,1,1,2415.16,13.2628
1:0,8,16,3,2,1,2402.76,13.332
1:0,8,16,3,3,1,2452.26,13.059000000000001
1:0,8,24,1,1,1,2388.82,20.136800000000008
1:0,8,24,1,2,1,2362.94,20.350600000000007
1:0,8,24,1,3,1,2391.06,20.116
1:0,8,24,2,1,1,2338.84,20.682199999999998
1:0,8,24,2,2,1,2353.66,20.5816
1:0,8,24,2,3,1,2334.04,20.763399999999997
1:0,8,24,3,1,1,2475.76,19.425600000000003
1:0,8,24,3,2,1,2469.9,19.478000000000005
1:0,8,24,3,3,1,2496.56,19.266999999999996
1:0,8,32,1,1,1,2159.54,28.802200000000006
1:0,8,32,1,2,1,2111.92,28.976399999999995
1:0,8,32,1,3,1,2206.9,28.643399999999993
1:0,8,32,2,1,1,2184.66,24.7394
1:0,8,32,2,2,1,2535.82,24.872000000000003
1:0,8,32,2,3,1,2591.68,24.724800000000005
1:0,8,32,3,1,1,2320.86,25.88499999999999
1:0,8,32,3,2,1,2356.34,25.91500000000001
1:0,8,32,3,3,1,2491.3,25.722999999999992
1:0,16,1,1,1,1,655.26,3.0473999999999988
1:0,16,1,1,2,1,659.94,3.0268
1:0,16,1,1,3,1,693.14,2.8802000000000003
1:0,16,1,2,1,1,640.62,3.166000000000001
1:0,16,1,2,2,1,674.2,2.9923999999999995
1:0,16,1,2,3,1,689.94,2.915400000000001
1:0,16,1,3,1,1,663.0,3.0109999999999997
1:0,16,1,3,2,1,698.68,2.8597999999999995
1:0,16,1,3,3,1,702.56,2.8438000000000003
1:0,16,4,1,1,1,1974.64,4.054799999999999
1:0,16,4,1,2,1,1967.92,4.069199999999999
1:0,16,4,1,3,1,2022.84,3.9579999999999997
1:0,16,4,2,1,1,2023.14,3.961
1:0,16,4,2,2,1,2106.32,3.8072
1:0,16,4,2,3,1,2101.46,3.8153999999999986
1:0,16,4,3,1,1,2047.5,3.910400000000001
1:0,16,4,3,2,1,2019.22,3.9697999999999998
1:0,16,4,3,3,1,2111.28,3.7903999999999995
1:0,16,8,1,1,1,2621.26,6.105599999999999
1:0,16,8,1,2,1,2682.16,5.9662000000000015
1:0,16,8,1,3,1,2592.54,6.173199999999998
1:0,16,8,2,1,1,2557.4,6.263799999999999
1:0,16,8,2,2,1,2524.08,6.349
1:0,16,8,2,3,1,2648.1,6.048999999999998
1:0,16,8,3,1,1,2489.64,6.5924000000000005
1:0,16,8,3,2,1,2426.26,6.9338
1:0,16,8,3,3,1,2561.1,6.479000000000001
1:0,16,16,1,1,1,2815.38,11.368199999999996
1:0,16,16,1,2,1,2871.14,11.1496
1:0,16,16,1,3,1,2725.32,11.745800000000001
1:0,16,16,2,1,1,2776.5,11.533199999999999
1:0,16,16,2,2,1,2661.56,12.031400000000003
1:0,16,16,2,3,1,2848.92,11.2424
1:0,16,16,3,1,1,2803.7,11.455599999999997
1:0,16,16,3,2,1,2702.08,11.890800000000004
1:0,16,16,3,3,1,2878.84,11.162600000000003
1:0,16,24,1,1,1,2809.64,17.140200000000004
1:0,16,24,1,2,1,2728.18,17.734800000000003
1:0,16,24,1,3,1,2780.48,17.358799999999995
1:0,16,24,2,1,1,2791.98,17.217600000000004
1:0,16,24,2,2,1,2725.32,17.6354
1:0,16,24,2,3,1,2789.08,17.231800000000007
1:0,16,24,3,1,1,2817.52,17.040400000000005
1:0,16,24,3,2,1,2791.4,17.205
1:0,16,24,3,3,1,2889.1,16.623599999999996
1:0,16,32,1,1,1,2625.76,25.7918
1:0,16,32,1,2,1,2593.44,26.191199999999995
1:0,16,32,1,3,1,2617.88,25.683199999999992
1:0,16,32,2,1,1,3026.12,21.166400000000003
1:0,16,32,2,2,1,2987.26,21.4396
1:0,16,32,2,3,1,2384.16,21.4074
1:0,16,32,3,1,1,2804.76,22.831200000000003
1:0,16,32,3,2,1,2747.62,22.943599999999993
1:0,16,32,3,3,1,2819.8,22.7102
1:0,32,1,1,1,1,629.56,3.1726000000000005
1:0,32,1,1,2,1,637.5,3.2170000000000005
1:0,32,1,1,3,1,704.56,2.8346000000000005
