2018-11-12 16:00:36 (2903756941586) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-12 16:02:02 (2989850072319) STATS - 17.6, 30
2018-11-12 16:02:02 (2989850174022) STATS - 17.7, 25
2018-11-12 16:02:02 (2989850297825) STATS - 17.8, 32
2018-11-12 16:02:02 (2989850401128) STATS - 17.9, 25
2018-11-12 16:02:02 (2989850502531) STATS - 18.0, 24
2018-11-12 16:02:02 (2989850602934) STATS - 18.1, 22
2018-11-12 16:02:02 (2989850701836) STATS - 18.2, 24
2018-11-12 16:02:02 (2989857050210) STATS - 18.3, 24
2018-11-12 16:02:02 (2989857251716) STATS - 18.4, 9
2018-11-12 16:02:02 (2989857399620) STATS - 18.5, 25
2018-11-12 16:02:02 (2989857503123) STATS - 18.6, 19
2018-11-12 16:02:02 (2989857601626) STATS - 18.7, 24
2018-11-12 16:02:02 (2989857731029) STATS - 18.8, 18
2018-11-12 16:02:02 (2989857831632) STATS - 18.9, 18
2018-11-12 16:02:02 (2989857924534) STATS - 19.0, 13
2018-11-12 16:02:02 (2989858053438) STATS - 19.1, 10
2018-11-12 16:02:02 (2989860201097) STATS - 19.2, 24
2018-11-12 16:02:02 (2989860394302) STATS - 19.3, 12
2018-11-12 16:02:02 (2989860524006) STATS - 19.4, 14
2018-11-12 16:02:02 (2989860625208) STATS - 19.5, 18
2018-11-12 16:02:02 (2989860720611) STATS - 19.6, 11
2018-11-12 16:02:02 (2989860838714) STATS - 19.7, 10
2018-11-12 16:02:02 (2989860960218) STATS - 19.8, 12
2018-11-12 16:02:02 (2989861062120) STATS - 19.9, 9
2018-11-12 16:02:02 (2989861155623) STATS - 20.0, 7
2018-11-12 16:02:02 (2989861262926) STATS - 20.1, 8
2018-11-12 16:02:02 (2989861361829) STATS - 20.2, 4
2018-11-12 16:02:02 (2989861452131) STATS - 20.3, 6
2018-11-12 16:02:02 (2989861542434) STATS - 20.4, 9
2018-11-12 16:02:02 (2989861629436) STATS - 20.5, 18
2018-11-12 16:02:02 (2989866077458) STATS - 20.6, 19
2018-11-12 16:02:02 (2989866216562) STATS - 20.7, 8
2018-11-12 16:02:02 (2989866310064) STATS - 20.8, 5
2018-11-12 16:02:02 (2989866402167) STATS - 20.9, 4
2018-11-12 16:02:02 (2989866490669) STATS - 21.0, 4
2018-11-12 16:02:02 (2989866579972) STATS - 21.1, 9
2018-11-12 16:02:02 (2989866672974) STATS - 21.2, 7
2018-11-12 16:02:02 (2989866762177) STATS - 21.3, 7
2018-11-12 16:02:02 (2989866851179) STATS - 21.4, 2
2018-11-12 16:02:02 (2989866943282) STATS - 21.5, 14
2018-11-12 16:02:02 (2989867046684) STATS - 21.6, 13
2018-11-12 16:02:02 (2989867133987) STATS - 21.7, 16
2018-11-12 16:02:02 (2989867219889) STATS - 21.8, 8
2018-11-12 16:02:02 (2989867354893) STATS - 21.9, 7
2018-11-12 16:02:02 (2989867465096) STATS - 22.0, 12
2018-11-12 16:02:02 (2989867554398) STATS - 22.1, 14
2018-11-12 16:02:02 (2989867643601) STATS - 22.2, 18
2018-11-12 16:02:02 (2989867732003) STATS - 22.3, 15
2018-11-12 16:02:02 (2989867832006) STATS - 22.4, 20
2018-11-12 16:02:02 (2989867918508) STATS - 22.5, 12
2018-11-12 16:02:02 (2989868038512) STATS - 22.6, 10
2018-11-12 16:02:02 (2989868138114) STATS - 22.7, 4
2018-11-12 16:02:02 (2989868229317) STATS - 22.8, 7
2018-11-12 16:02:02 (2989868355720) STATS - 22.9, 5
2018-11-12 16:02:02 (2989868446623) STATS - 23.0, 7
2018-11-12 16:02:02 (2989868535925) STATS - 23.1, 9
2018-11-12 16:02:02 (2989868625628) STATS - 23.2, 10
2018-11-12 16:02:02 (2989875073104) STATS - 23.3, 4
2018-11-12 16:02:02 (2989875274710) STATS - 23.4, 9
2018-11-12 16:02:02 (2989875369813) STATS - 23.5, 4
2018-11-12 16:02:02 (2989875514117) STATS - 23.6, 11
2018-11-12 16:02:02 (2989876137334) STATS - 23.7, 9
2018-11-12 16:02:02 (2989876244737) STATS - 23.8, 8
2018-11-12 16:02:02 (2989876378740) STATS - 23.9, 12
2018-11-12 16:02:02 (2989876568545) STATS - 24.0, 10
2018-11-12 16:02:02 (2989876696149) STATS - 24.1, 8
2018-11-12 16:02:02 (2989876787851) STATS - 24.2, 2
2018-11-12 16:02:02 (2989876879954) STATS - 24.3, 2
2018-11-12 16:02:02 (2989876970156) STATS - 24.4, 15
2018-11-12 16:02:02 (2989877070059) STATS - 24.5, 13
2018-11-12 16:02:02 (2989877167362) STATS - 24.6, 8
2018-11-12 16:02:02 (2989877269965) STATS - 24.7, 7
2018-11-12 16:02:02 (2989877372067) STATS - 24.8, 10
2018-11-12 16:02:02 (2989877463870) STATS - 24.9, 14
2018-11-12 16:02:02 (2989877551372) STATS - 25.0, 9
2018-11-12 16:02:02 (2989877640375) STATS - 25.1, 8
2018-11-12 16:02:02 (2989884102452) STATS - 25.2, 6
2018-11-12 16:02:02 (2989884303357) STATS - 25.3, 9
2018-11-12 16:02:02 (2989884408260) STATS - 25.4, 12
2018-11-12 16:02:02 (2989884492163) STATS - 25.5, 16
2018-11-12 16:02:02 (2989884572865) STATS - 25.6, 6
2018-11-12 16:02:02 (2989884650367) STATS - 25.7, 9
2018-11-12 16:02:02 (2989884726369) STATS - 25.8, 2
2018-11-12 16:02:02 (2989884801971) STATS - 25.9, 4
2018-11-12 16:02:02 (2989884913874) STATS - 26.0, 2
2018-11-12 16:02:02 (2989885042278) STATS - 26.1, 10
2018-11-12 16:02:02 (2989885130380) STATS - 26.2, 11
2018-11-12 16:02:02 (2989885238983) STATS - 26.3, 6
2018-11-12 16:02:02 (2989885347486) STATS - 26.4, 17
2018-11-12 16:02:02 (2989885426488) STATS - 26.5, 14
2018-11-12 16:02:02 (2989885513991) STATS - 26.6, 21
2018-11-12 16:02:02 (2989885593893) STATS - 26.7, 18
2018-11-12 16:02:02 (2989885673295) STATS - 26.8, 10
2018-11-12 16:02:02 (2989885754997) STATS - 26.9, 9
2018-11-12 16:02:02 (2989885833099) STATS - 27.0, 6
2018-11-12 16:02:02 (2989885911802) STATS - 27.1, 12
2018-11-12 16:02:02 (2989886003004) STATS - 27.2, 18
2018-11-12 16:02:02 (2989886098107) STATS - 27.3, 9
2018-11-12 16:02:02 (2989886182709) STATS - 27.4, 6
2018-11-12 16:02:02 (2989886266811) STATS - 27.5, 8
2018-11-12 16:02:02 (2989886361114) STATS - 27.6, 13
2018-11-12 16:02:02 (2989886451816) STATS - 27.7, 12
2018-11-12 16:02:02 (2989886530719) STATS - 27.8, 11
2018-11-12 16:02:02 (2989886609421) STATS - 27.9, 8
2018-11-12 16:02:02 (2989886686223) STATS - 28.0, 7
2018-11-12 16:02:02 (2989893092698) STATS - 28.1, 1
2018-11-12 16:02:02 (2989893241203) STATS - 28.2, 13
2018-11-12 16:02:02 (2989893577112) STATS - 28.3, 8
2018-11-12 16:02:02 (2989893667314) STATS - 28.4, 3
2018-11-12 16:02:02 (2989893747216) STATS - 28.5, 7
2018-11-12 16:02:02 (2989893825719) STATS - 28.6, 7
2018-11-12 16:02:02 (2989893922021) STATS - 28.7, 1
2018-11-12 16:02:02 (2989894007124) STATS - 28.8, 4
2018-11-12 16:02:02 (2989894085226) STATS - 28.9, 8
2018-11-12 16:02:02 (2989894158328) STATS - 29.0, 6
2018-11-12 16:02:02 (2989894235630) STATS - 29.1, 8
2018-11-12 16:02:02 (2989894325332) STATS - 29.2, 4
2018-11-12 16:02:02 (2989894396934) STATS - 29.3, 1
2018-11-12 16:02:02 (2989894468636) STATS - 29.4, 2
2018-11-12 16:02:02 (2989894539838) STATS - 29.5, 5
2018-11-12 16:02:02 (2989894610640) STATS - 29.6, 3
2018-11-12 16:02:02 (2989894695542) STATS - 29.7, 6
2018-11-12 16:02:02 (2989894771144) STATS - 29.8, 6
2018-11-12 16:02:02 (2989894858747) STATS - 29.9, 4
2018-11-12 16:02:02 (2989894946549) STATS - 30.0, 5
2018-11-12 16:02:02 (2989895037152) STATS - 30.1, 0
2018-11-12 16:02:02 (2989895117354) STATS - 30.2, 0
2018-11-12 16:02:02 (2989895211657) STATS - 30.3, 0
2018-11-12 16:02:02 (2989895315059) STATS - 30.4, 0
2018-11-12 16:02:02 (2989895387761) STATS - 30.5, 3
2018-11-12 16:02:02 (2989895459063) STATS - 30.6, 6
2018-11-12 16:02:02 (2989895531265) STATS - 30.7, 8
2018-11-12 16:02:02 (2989895604667) STATS - 30.8, 1
2018-11-12 16:02:02 (2989895675969) STATS - 30.9, 3
2018-11-12 16:02:02 (2989895744771) STATS - 31.0, 7
2018-11-12 16:02:02 (2989895815573) STATS - 31.1, 4
2018-11-12 16:02:02 (2989902108246) STATS - 31.2, 3
2018-11-12 16:02:02 (2989902298651) STATS - 31.3, 3
2018-11-12 16:02:02 (2989902424654) STATS - 31.4, 11
2018-11-12 16:02:02 (2989902521257) STATS - 31.5, 2
2018-11-12 16:02:02 (2989902608859) STATS - 31.6, 7
2018-11-12 16:02:02 (2989902685761) STATS - 31.7, 3
2018-11-12 16:02:02 (2989902774964) STATS - 31.8, 4
2018-11-12 16:02:02 (2989902880767) STATS - 31.9, 4
2018-11-12 16:02:02 (2989902963169) STATS - 32.0, 3
2018-11-12 16:02:02 (2989903039171) STATS - 32.1, 3
2018-11-12 16:02:02 (2989903112373) STATS - 32.2, 5
2018-11-12 16:02:02 (2989903197775) STATS - 32.3, 2
2018-11-12 16:02:02 (2989903278178) STATS - 32.4, 2
2018-11-12 16:02:02 (2989903346680) STATS - 32.5, 0
2018-11-12 16:02:02 (2989907273287) STATS - 32.6, 0
2018-11-12 16:02:02 (2989907448292) STATS - 32.7, 3
2018-11-12 16:02:02 (2989907537594) STATS - 32.8, 2
2018-11-12 16:02:02 (2989907620897) STATS - 32.9, 1
2018-11-12 16:02:02 (2989907693599) STATS - 33.0, 1
2018-11-12 16:02:02 (2989907768301) STATS - 33.1, 2
2018-11-12 16:02:02 (2989907842203) STATS - 33.2, 1
2018-11-12 16:02:02 (2989907932305) STATS - 33.3, 3
2018-11-12 16:02:02 (2989908048008) STATS - 33.4, 0
