Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 39.8, 19
SET, 39.9, 12
SET, 40.0, 20
SET, 40.1, 28
SET, 40.2, 31
SET, 40.3, 30
SET, 40.4, 28
SET, 40.5, 22
SET, 40.6, 26
SET, 40.7, 33
SET, 40.8, 30
SET, 40.9, 36
SET, 41.0, 27
SET, 41.1, 24
SET, 41.2, 24
SET, 41.3, 40
SET, 41.4, 27
SET, 41.5, 34
SET, 41.6, 32
SET, 41.7, 24
SET, 41.8, 27
SET, 41.9, 27
SET, 42.0, 24
SET, 42.1, 21
SET, 42.2, 36
SET, 42.3, 27
SET, 42.4, 23
SET, 42.5, 21
SET, 42.6, 22
SET, 42.7, 28
SET, 42.8, 32
SET, 42.9, 23
SET, 43.0, 24
SET, 43.1, 19
SET, 43.2, 25
SET, 43.3, 17
SET, 43.4, 31
SET, 43.5, 24
SET, 43.6, 24
SET, 43.7, 28
SET, 43.8, 25
SET, 43.9, 27
SET, 44.0, 27
SET, 44.1, 19
SET, 44.2, 9
SET, 44.3, 14
SET, 44.4, 18
SET, 44.5, 17
SET, 44.6, 13
SET, 44.7, 10
SET, 44.8, 9
SET, 44.9, 13
SET, 45.0, 13
SET, 45.1, 12
SET, 45.2, 16
SET, 45.3, 10
SET, 45.4, 13
SET, 45.5, 10
SET, 45.6, 9
SET, 45.7, 12
SET, 45.8, 15
SET, 45.9, 16
SET, 46.0, 11
SET, 46.1, 14
SET, 46.2, 11
SET, 46.3, 19
SET, 46.4, 15
SET, 46.5, 19
SET, 46.6, 13
SET, 46.7, 17
SET, 46.8, 19
SET, 46.9, 13
SET, 47.0, 25
SET, 47.1, 27
SET, 47.2, 28
SET, 47.3, 25
SET, 47.4, 25
SET, 47.5, 23
SET, 47.6, 28
SET, 47.7, 24
SET, 47.8, 15
SET, 47.9, 22
SET, 48.0, 18
SET, 48.1, 15
SET, 48.2, 28
SET, 48.3, 23
SET, 48.4, 15
SET, 48.5, 19
SET, 48.6, 29
SET, 48.7, 21
SET, 48.8, 26
SET, 48.9, 20
SET, 49.0, 22
SET, 49.1, 21
SET, 49.2, 20
SET, 49.3, 22
SET, 49.4, 20
SET, 49.5, 22
SET, 49.6, 25
SET, 49.7, 20
SET, 49.8, 25
SET, 49.9, 19
SET, 50.0, 12
SET, 50.1, 17
SET, 50.2, 21
SET, 50.3, 23
SET, 50.4, 16
SET, 50.5, 23
SET, 50.6, 35
SET, 50.7, 37
SET, 50.8, 27
SET, 50.9, 27
SET, 51.0, 22
SET, 51.1, 17
SET, 51.2, 20
SET, 51.3, 15
SET, 51.4, 12
SET, 51.5, 15
SET, 51.6, 17
SET, 51.7, 12
SET, 51.8, 19
SET, 51.9, 10
SET, 52.0, 10
SET, 52.1, 15
SET, 52.2, 14
SET, 52.3, 17
SET, 52.4, 14
SET, 52.5, 9
SET, 52.6, 17
SET, 52.7, 26
SET, 52.8, 22
SET, 52.9, 13
SET, 53.0, 16
SET, 53.1, 25
SET, 53.2, 22
SET, 53.3, 16
SET, 53.4, 19
SET, 53.5, 18
SET, 53.6, 29
SET, 53.7, 24
SET, 53.8, 22
SET, 53.9, 33
SET, 54.0, 20
SET, 54.1, 19
SET, 54.2, 14
SET, 54.3, 20
SET, 54.4, 24
SET, 54.5, 22
SET, 54.6, 23
SET, 54.7, 38
SET, 54.8, 22
SET, 54.9, 30
SET, 55.0, 33
SET, 55.1, 18
SET, 55.2, 16
SET, 55.3, 29
SET, 55.4, 24
SET, 55.5, 31
SET, 55.6, 38
SET, 55.7, 41
SET, 55.8, 27
SET, 55.9, 24
SET, 56.0, 32
SET, 56.1, 27
SET, 56.2, 20
SET, 56.3, 37
SET, 56.4, 27
SET, 56.5, 36
SET, 56.6, 27
SET, 56.7, 28
SET, 56.8, 19
SET, 56.9, 19
SET, 57.0, 26
SET, 57.1, 14
SET, 57.2, 20
SET, 57.3, 17
SET, 57.4, 14
SET, 57.5, 21
SET, 57.6, 18
SET, 57.7, 19
SET, 57.8, 22
SET, 57.9, 10
SET, 58.0, 9
SET, 58.1, 5
SET, 58.2, 3
SET, 58.3, 12
SET, 58.4, 16
SET, 58.5, 9
SET, 58.6, 12
SET, 58.7, 7
SET, 58.8, 9
SET, 58.9, 8
SET, 59.0, 13
SET, 59.1, 3
SET, 59.2, 15
SET, 59.3, 15
SET, 59.4, 11
SET, 59.5, 10
SET, 59.6, 21
SET, 59.7, 15
SET, 59.8, 23
SET, 59.9, 14
SET, 60.0, 12
SET, 60.1, 19
SET, 60.2, 22
SET, 60.3, 11
SET, 60.4, 18
SET, 60.5, 15
SET, 60.6, 22
SET, 60.7, 19
SET, 60.8, 10
SET, 60.9, 14
SET, 61.0, 14
SET, 61.1, 24
SET, 61.2, 26
SET, 61.3, 33
SET, 61.4, 21
SET, 61.5, 13
SET, 61.6, 12
SET, 61.7, 11
SET, 61.8, 22
SET, 61.9, 13
SET, 62.0, 12
SET, 62.1, 14
SET, 62.2, 6
SET, 62.3, 9
SET, 62.4, 13
SET, 62.5, 11
SET, 62.6, 19
SET, 62.7, 15
SET, 62.8, 5
SET, 62.9, 15
SET, 63.0, 19
SET, 63.1, 10
SET, 63.2, 9
SET, 63.3, 8
SET, 63.4, 3
SET, 63.5, 5
SET, 63.6, 8
SET, 63.7, 7
SET, 63.8, 3
SET, 63.9, 6
SET, 64.0, 5
SET, 64.1, 4
SET, 64.2, 4
SET, 64.3, 3
SET, 64.4, 4
SET, 64.5, 0
SET, 64.6, 5
SET, 64.7, 3
SET, 64.8, 4
SET, 64.9, 3
SET, 65.0, 3
SET, 65.1, 2
SET, 65.2, 2
SET, 65.3, 6
SET, 65.4, 6
SET, 65.5, 5
SET, 65.6, 4
SET, 65.7, 2
SET, 65.8, 2
SET, 65.9, 1
SET, 66.0, 0
SET, 66.1, 4
