2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:37 (15444112880180) STATS - 11.5, 38
2018-10-21 19:29:37 (15444113055085) STATS - 11.6, 33
2018-10-21 19:29:37 (15444113233990) STATS - 11.7, 27
2018-10-21 19:29:37 (15444113443596) STATS - 11.8, 27
2018-10-21 19:29:37 (15444113627502) STATS - 11.9, 27
2018-10-21 19:29:37 (15444113802507) STATS - 12.0, 33
2018-10-21 19:29:37 (15444113977712) STATS - 12.1, 11
2018-10-21 19:29:37 (15444114152417) STATS - 12.2, 14
2018-10-21 19:29:37 (15444114333523) STATS - 12.3, 23
2018-10-21 19:29:37 (15444114489127) STATS - 12.4, 20
2018-10-21 19:29:37 (15444114645832) STATS - 12.5, 13
2018-10-21 19:29:37 (15444114796636) STATS - 12.6, 5
2018-10-21 19:29:37 (15444114961741) STATS - 12.7, 4
2018-10-21 19:29:37 (15444115120846) STATS - 12.8, 10
2018-10-21 19:29:37 (15444115272750) STATS - 12.9, 6
2018-10-21 19:29:37 (15444121266226) STATS - 13.0, 9
2018-10-21 19:29:37 (15444121463431) STATS - 13.1, 4
2018-10-21 19:29:37 (15444121647937) STATS - 13.2, 3
2018-10-21 19:29:37 (15444121823942) STATS - 13.3, 1
2018-10-21 19:29:37 (15444121998147) STATS - 13.4, 5
2018-10-21 19:29:37 (15444122172552) STATS - 13.5, 8
2018-10-21 19:29:37 (15444122347157) STATS - 13.6, 1
2018-10-21 19:29:37 (15444122624466) STATS - 13.7, 1
2018-10-21 19:29:37 (15444122799471) STATS - 13.8, 3
2018-10-21 19:29:37 (15444122973076) STATS - 13.9, 5
2018-10-21 19:29:37 (15444123143781) STATS - 14.0, 3
2018-10-21 19:29:37 (15444123322486) STATS - 14.1, 3
2018-10-21 19:29:37 (15444123497891) STATS - 14.2, 4
2018-10-21 19:29:37 (15444123676796) STATS - 14.3, 2
2018-10-21 19:29:37 (15444123853402) STATS - 14.4, 3
2018-10-21 19:29:37 (15444124073608) STATS - 14.5, 4
2018-10-21 19:29:37 (15444124252713) STATS - 14.6, 6
2018-10-21 19:29:37 (15444124426618) STATS - 14.7, 4
2018-10-21 19:29:37 (15444124604924) STATS - 14.8, 5
2018-10-21 19:29:37 (15444124779029) STATS - 14.9, 3
2018-10-21 19:29:37 (15444124949634) STATS - 15.0, 3
2018-10-21 19:29:37 (15444125123239) STATS - 15.1, 6
2018-10-21 19:29:37 (15444131181616) STATS - 15.2, 4
2018-10-21 19:29:37 (15444131379222) STATS - 15.3, 3
2018-10-21 19:29:37 (15444131557327) STATS - 15.4, 13
2018-10-21 19:29:37 (15444131983040) STATS - 15.5, 3
2018-10-21 19:29:37 (15444132266248) STATS - 15.6, 2
2018-10-21 19:29:37 (15444132418953) STATS - 15.7, 5
