2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844302864711) STATS - SET, 14.7, 0
2018-11-20 21:30:53 (1844302961813) STATS - SET, 14.8, 3
2018-11-20 21:30:53 (1844303117717) STATS - SET, 14.9, 0
2018-11-20 21:30:53 (1844303213619) STATS - SET, 15.0, 1
2018-11-20 21:30:53 (1844303309521) STATS - SET, 15.1, 1
2018-11-20 21:30:53 (1844303447824) STATS - SET, 15.2, 1
2018-11-20 21:30:53 (1844303545926) STATS - SET, 15.3, 1
2018-11-20 21:30:53 (1844303641428) STATS - SET, 15.4, 0
2018-11-20 21:30:53 (1844303824632) STATS - SET, 15.5, 1
2018-11-20 21:30:53 (1844303924235) STATS - SET, 15.6, 1
2018-11-20 21:30:53 (1844304046037) STATS - SET, 15.7, 1
2018-11-20 21:30:53 (1844304181340) STATS - SET, 15.8, 0
2018-11-20 21:30:53 (1844304281943) STATS - SET, 15.9, 2
2018-11-20 21:30:53 (1844304374445) STATS - SET, 16.0, 0
2018-11-20 21:30:53 (1844304468747) STATS - SET, 16.1, 0
2018-11-20 21:30:53 (1844304567549) STATS - SET, 16.2, 2
2018-11-20 21:30:53 (1844304699352) STATS - SET, 16.3, 1
2018-11-20 21:30:53 (1844304802654) STATS - SET, 16.4, 0
2018-11-20 21:30:53 (1844305091060) STATS - SET, 16.5, 0
2018-11-20 21:30:53 (1844305221363) STATS - SET, 16.6, 0
2018-11-20 21:30:53 (1844305390467) STATS - SET, 16.7, 0
2018-11-20 21:30:53 (1844305696074) STATS - SET, 16.8, 0
2018-11-20 21:30:53 (1844311197096) STATS - SET, 16.9, 0
2018-11-20 21:30:53 (1844311304398) STATS - SET, 17.0, 0
2018-11-20 21:30:53 (1844311438401) STATS - SET, 17.1, 0
2018-11-20 21:30:53 (1844311548304) STATS - SET, 17.2, 1
2018-11-20 21:30:53 (1844311642306) STATS - SET, 17.3, 0
2018-11-20 21:30:53 (1844311735308) STATS - SET, 17.4, 0
2018-11-20 21:30:53 (1844311828410) STATS - SET, 17.5, 0
2018-11-20 21:30:53 (1844311967213) STATS - SET, 17.6, 1
2018-11-20 21:30:53 (1844312092816) STATS - SET, 17.7, 0
2018-11-20 21:30:53 (1844312192718) STATS - SET, 17.8, 2
2018-11-20 21:30:53 (1844312288420) STATS - SET, 17.9, 1
2018-11-20 21:30:53 (1844312417323) STATS - SET, 18.0, 0
2018-11-20 21:30:53 (1844312508625) STATS - SET, 18.1, 0
2018-11-20 21:30:53 (1844312601427) STATS - SET, 18.2, 1
2018-11-20 21:30:53 (1844312692829) STATS - SET, 18.3, 0
2018-11-20 21:30:53 (1844312789331) STATS - SET, 18.4, 0
