ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),Get MissRatio
0:1,32,4,3,3,2,488.64,8.18,0.00
0:1,32,8,1,1,1,485.12,16.46,0.00
0:1,32,8,1,1,2,488.64,16.34,0.00
0:1,32,8,1,2,1,488.26,16.35,0.00
0:1,32,8,1,2,2,490.70,16.27,0.00
0:1,32,8,1,3,1,488.94,16.33,0.00
0:1,32,8,1,3,2,492.38,16.21,0.00
0:1,32,8,2,1,1,482.68,16.53,0.00
0:1,32,8,2,1,2,489.24,16.32,0.00
0:1,32,8,2,2,1,487.98,16.36,0.00
0:1,32,8,2,2,2,491.48,16.24,0.00
0:1,32,8,2,3,1,487.90,16.36,0.00
0:1,32,8,2,3,2,493.12,16.19,0.00
0:1,32,8,3,1,1,480.10,16.62,0.00
0:1,32,8,3,1,2,489.92,16.29,0.00
0:1,32,8,3,2,1,484.22,16.49,0.00
0:1,32,8,3,2,2,491.52,16.24,0.00
0:1,32,8,3,3,1,487.96,16.36,0.00
0:1,32,8,3,3,2,493.78,16.17,0.00
0:1,32,16,1,1,1,535.52,30.86,0.00
0:1,32,16,1,1,2,422.54,45.35,0.00
0:1,32,16,1,2,1,546.46,30.01,0.00
0:1,32,16,1,2,2,425.94,39.41,0.00
0:1,32,16,1,3,1,553.54,29.59,0.00
0:1,32,16,1,3,2,435.94,38.66,0.00
0:1,32,16,2,1,1,463.26,34.66,0.00
0:1,32,16,2,1,2,496.38,32.33,0.00
0:1,32,16,2,2,1,454.00,35.59,0.00
0:1,32,16,2,2,2,488.82,33.50,0.00
0:1,32,16,2,3,1,495.84,32.32,0.00
0:1,32,16,2,3,2,526.74,30.38,0.00
0:1,32,16,3,1,1,490.44,33.06,0.00
0:1,32,16,3,1,2,473.12,34.76,0.00
0:1,32,16,3,2,1,472.90,33.85,0.00
0:1,32,16,3,2,2,471.76,36.00,0.00
0:1,32,16,3,3,1,512.44,31.66,0.00
0:1,32,16,3,3,2,489.08,33.36,0.00
0:1,32,32,1,1,1,463.36,68.95,0.00
0:1,32,32,1,1,2,501.70,63.67,0.00
0:1,32,32,1,2,1,469.10,68.13,0.00
0:1,32,32,1,2,2,509.38,62.74,0.00
0:1,32,32,1,3,1,471.78,67.71,0.00
0:1,32,32,1,3,2,514.74,62.07,0.00
0:1,32,32,2,1,1,457.94,69.74,0.00
0:1,32,32,2,1,2,508.34,62.86,0.00
0:1,32,32,2,2,1,460.52,69.40,0.00
0:1,32,32,2,2,2,515.90,61.93,0.00
0:1,32,32,2,3,1,465.96,68.58,0.00
0:1,32,32,2,3,2,518.08,61.68,0.00
0:1,32,32,3,1,1,456.24,70.04,0.00
0:1,32,32,3,1,2,511.68,62.48,0.00
0:1,32,32,3,2,1,459.20,69.59,0.00
0:1,32,32,3,2,2,517.66,61.75,0.00
0:1,32,32,3,3,1,457.70,69.80,0.00
0:1,32,32,3,3,2,523.92,61.01,0.00
0:1,32,64,1,1,1,469.60,136.13,0.00
0:1,32,64,1,1,2,500.62,127.51,0.00
0:1,32,64,1,2,1,470.88,135.69,0.00
0:1,32,64,1,2,2,506.26,126.14,0.00
0:1,32,64,1,3,1,475.02,134.59,0.00
0:1,32,64,1,3,2,506.42,126.13,0.00
0:1,32,64,2,1,1,459.56,139.04,0.00
0:1,32,64,2,1,2,510.94,125.07,0.00
0:1,32,64,2,2,1,462.20,138.20,0.00
0:1,32,64,2,2,2,515.70,123.95,0.00
0:1,32,64,2,3,1,463.02,138.00,0.00
0:1,32,64,2,3,2,517.42,123.53,0.00
0:1,32,64,3,1,1,460.84,138.64,0.00
0:1,32,64,3,1,2,509.06,125.53,0.00
0:1,32,64,3,2,1,462.76,138.11,0.00
0:1,32,64,3,2,2,514.18,124.24,0.00
0:1,32,64,3,3,1,465.06,137.41,0.00
0:1,32,64,3,3,2,514.18,124.24,0.00
0:1,64,1,1,1,1,528.12,1.88,0.00
0:1,64,1,1,1,2,355.54,2.80,0.00
0:1,64,1,1,2,1,480.20,2.08,0.00
0:1,64,1,1,2,2,335.40,2.98,0.00
0:1,64,1,1,3,1,542.12,1.83,0.00
0:1,64,1,1,3,2,383.08,2.60,0.00
0:1,64,1,2,1,1,418.48,2.38,0.00
0:1,64,1,2,1,2,373.42,2.66,0.00
0:1,64,1,2,2,1,379.66,2.63,0.00
0:1,64,1,2,2,2,355.38,2.81,0.00
0:1,64,1,2,3,1,436.72,2.28,0.00
0:1,64,1,2,3,2,410.02,2.43,0.00
0:1,64,1,3,1,1,453.82,2.19,0.00
0:1,64,1,3,1,2,338.14,2.94,0.00
