2018-11-20 14:30:27 (2503803444590) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:31:52 (2588523984264) STATS -  5.00, 1378, 54, 42.610227, 21.821578, 64.718255, 0.000000, 64.718255, 0.000000, 0, 6890, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588641606678) STATS - 10.00, 1377, 54, 43.664594, 23.164375, 66.890473, 0.000000, 66.890473, 0.000000, 0, 6887, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588730818788) STATS - 15.00, 1385, 54, 43.225029, 23.059002, 66.343279, 0.000000, 66.343279, 0.000000, 0, 6928, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588750886890) STATS - 20.00, 1405, 54, 42.425803, 22.607054, 65.093375, 0.000000, 65.093375, 0.000000, 0, 7025, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588770116893) STATS - 25.00, 1412, 54, 42.243666, 22.657115, 64.956061, 0.000000, 64.956061, 0.000000, 0, 7062, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588781729994) STATS - 30.00, 1413, 54, 42.347320, 22.576694, 64.987154, 0.000000, 64.987154, 0.000000, 0, 7067, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588800327396) STATS - 35.00, 1423, 54, 42.059866, 22.420893, 64.574022, 0.000000, 64.574022, 0.000000, 0, 7116, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588811525197) STATS - 40.00, 1421, 54, 42.127041, 22.430876, 64.626209, 0.000000, 64.626209, 0.000000, 0, 7109, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588829740199) STATS - 45.00, 1400, 54, 42.582018, 22.753802, 65.395072, 0.000000, 65.395072, 0.000000, 0, 7002, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (2588840310201) STATS - 50.00, 1393, 54, 42.895553, 22.862435, 65.811870, 0.000000, 65.811870, 0.000000, 0, 6966, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588850846502) STATS - 55.00, 1435, 54, 41.556715, 22.291104, 63.923761, 0.000000, 63.923761, 0.000000, 0, 7179, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588860950403) STATS - 60.00, 1445, 54, 41.211567, 22.073379, 63.355419, 0.000000, 63.355419, 0.000000, 0, 7229, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588870896404) STATS - 65.00, 1432, 54, 41.737416, 22.211750, 64.022511, 0.000000, 64.022511, 0.000000, 0, 7161, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588880614505) STATS - 70.00, 1419, 54, 42.341110, 22.518163, 64.921230, 0.000000, 64.921230, 0.000000, 0, 7096, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2588888714106) STATS - 70.00, 53, 19, 23.283140, 14.253637, 37.586091, 0.000000, 37.586091, 0.000000, 0, 266, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (2589104928831) STATS - Type, Interval, Responses
2018-11-20 14:31:53 (2589291708552) STATS - GET, 7.3, 0
2018-11-20 14:31:53 (2589291814652) STATS - GET, 7.4, 0
2018-11-20 14:31:53 (2589291901152) STATS - GET, 7.5, 1
2018-11-20 14:31:53 (2589291976452) STATS - GET, 7.6, 0
2018-11-20 14:31:53 (2589292120652) STATS - GET, 7.7, 0
2018-11-20 14:31:53 (2589292246252) STATS - GET, 7.8, 0
2018-11-20 14:31:53 (2589292337152) STATS - GET, 7.9, 1
2018-11-20 14:31:53 (2589292442052) STATS - GET, 8.0, 1
2018-11-20 14:31:53 (2589292528652) STATS - GET, 8.1, 3
2018-11-20 14:31:53 (2589292610952) STATS - GET, 8.2, 0
2018-11-20 14:31:53 (2589292694052) STATS - GET, 8.3, 0
2018-11-20 14:31:53 (2589292793752) STATS - GET, 8.4, 0
2018-11-20 14:31:53 (2589292870052) STATS - GET, 8.5, 0
2018-11-20 14:31:53 (2589293016052) STATS - GET, 8.6, 2
2018-11-20 14:31:53 (2589293123752) STATS - GET, 8.7, 0
2018-11-20 14:31:53 (2589293207952) STATS - GET, 8.8, 0
2018-11-20 14:31:53 (2589293301852) STATS - GET, 8.9, 1
2018-11-20 14:31:53 (2589293402952) STATS - GET, 9.0, 1
2018-11-20 14:31:53 (2589293584652) STATS - GET, 9.1, 2
2018-11-20 14:31:53 (2589293677952) STATS - GET, 9.2, 0
2018-11-20 14:31:53 (2589293793952) STATS - GET, 9.3, 0
2018-11-20 14:31:53 (2589300857953) STATS - GET, 9.4, 3
2018-11-20 14:31:53 (2589301027853) STATS - GET, 9.5, 1
2018-11-20 14:31:53 (2589301122353) STATS - GET, 9.6, 2
2018-11-20 14:31:53 (2589301199253) STATS - GET, 9.7, 1
2018-11-20 14:31:53 (2589301276053) STATS - GET, 9.8, 0
2018-11-20 14:31:53 (2589301378153) STATS - GET, 9.9, 3
2018-11-20 14:31:53 (2589301461353) STATS - GET, 10.0, 3
2018-11-20 14:31:53 (2589301561953) STATS - GET, 10.1, 6
2018-11-20 14:31:53 (2589301637453) STATS - GET, 10.2, 4
2018-11-20 14:31:53 (2589301711553) STATS - GET, 10.3, 7
2018-11-20 14:31:53 (2589301894553) STATS - GET, 10.4, 5
2018-11-20 14:31:53 (2589302007253) STATS - GET, 10.5, 2
2018-11-20 14:31:53 (2589302084953) STATS - GET, 10.6, 0
2018-11-20 14:31:53 (2589302171453) STATS - GET, 10.7, 0
2018-11-20 14:31:53 (2589302274753) STATS - GET, 10.8, 0
2018-11-20 14:31:53 (2589302397653) STATS - GET, 10.9, 0
2018-11-20 14:31:53 (2589302499953) STATS - GET, 11.0, 0
2018-11-20 14:31:53 (2589302622553) STATS - GET, 11.1, 0
2018-11-20 14:31:53 (2589302719353) STATS - GET, 11.2, 0
2018-11-20 14:31:53 (2589302800553) STATS - GET, 11.3, 0
2018-11-20 14:31:53 (2589302871453) STATS - GET, 11.4, 0
2018-11-20 14:31:53 (2589302976753) STATS - GET, 11.5, 1
2018-11-20 14:31:53 (2589303046753) STATS - GET, 11.6, 1
2018-11-20 14:31:53 (2589303113953) STATS - GET, 11.7, 1
2018-11-20 14:31:53 (2589303199253) STATS - GET, 11.8, 1
2018-11-20 14:31:53 (2589303293053) STATS - GET, 11.9, 0
2018-11-20 14:31:53 (2589303363353) STATS - GET, 12.0, 0
2018-11-20 14:31:53 (2589303435353) STATS - GET, 12.1, 0
2018-11-20 14:31:53 (2589303518253) STATS - GET, 12.2, 0
2018-11-20 14:31:53 (2589303596153) STATS - GET, 12.3, 0
2018-11-20 14:31:53 (2589303661053) STATS - GET, 12.4, 0
2018-11-20 14:31:53 (2589310751954) STATS - GET, 12.5, 0
2018-11-20 14:31:53 (2589310848354) STATS - GET, 12.6, 4
2018-11-20 14:31:53 (2589310952454) STATS - GET, 12.7, 1
2018-11-20 14:31:53 (2589311023154) STATS - GET, 12.8, 0
2018-11-20 14:31:53 (2589311089754) STATS - GET, 12.9, 0
2018-11-20 14:31:53 (2589311152154) STATS - GET, 13.0, 0
2018-11-20 14:31:53 (2589311216354) STATS - GET, 13.1, 1
2018-11-20 14:31:53 (2589311308954) STATS - GET, 13.2, 5
2018-11-20 14:31:53 (2589311401254) STATS - GET, 13.3, 2
2018-11-20 14:31:53 (2589311484654) STATS - GET, 13.4, 5
2018-11-20 14:31:53 (2589311557754) STATS - GET, 13.5, 5
2018-11-20 14:31:53 (2589311641654) STATS - GET, 13.6, 1
2018-11-20 14:31:53 (2589311725954) STATS - GET, 13.7, 3
2018-11-20 14:31:53 (2589311801054) STATS - GET, 13.8, 2
2018-11-20 14:31:53 (2589311865454) STATS - GET, 13.9, 7
2018-11-20 14:31:53 (2589311931554) STATS - GET, 14.0, 3
2018-11-20 14:31:53 (2589311999254) STATS - GET, 14.1, 2
2018-11-20 14:31:53 (2589312081254) STATS - GET, 14.2, 2
2018-11-20 14:31:53 (2589312143954) STATS - GET, 14.3, 3
2018-11-20 14:31:53 (2589312206454) STATS - GET, 14.4, 2
2018-11-20 14:31:53 (2589312268554) STATS - GET, 14.5, 1
2018-11-20 14:31:53 (2589312330854) STATS - GET, 14.6, 3
2018-11-20 14:31:53 (2589312418354) STATS - GET, 14.7, 2
2018-11-20 14:31:53 (2589312507754) STATS - GET, 14.8, 4
2018-11-20 14:31:53 (2589312588954) STATS - GET, 14.9, 1
2018-11-20 14:31:53 (2589312656954) STATS - GET, 15.0, 1
2018-11-20 14:31:53 (2589312737454) STATS - GET, 15.1, 1
2018-11-20 14:31:53 (2589312817954) STATS - GET, 15.2, 4
2018-11-20 14:31:53 (2589312891754) STATS - GET, 15.3, 0
2018-11-20 14:31:53 (2589312954154) STATS - GET, 15.4, 1
2018-11-20 14:31:53 (2589313096154) STATS - GET, 15.5, 4
2018-11-20 14:31:53 (2589313180854) STATS - GET, 15.6, 0
2018-11-20 14:31:53 (2589313277154) STATS - GET, 15.7, 0
2018-11-20 14:31:53 (2589313369854) STATS - GET, 15.8, 4
2018-11-20 14:31:53 (2589313443254) STATS - GET, 15.9, 1
2018-11-20 14:31:53 (2589313510854) STATS - GET, 16.0, 2
2018-11-20 14:31:53 (2589313579354) STATS - GET, 16.1, 2
2018-11-20 14:31:53 (2589320733055) STATS - GET, 16.2, 1
2018-11-20 14:31:53 (2589321007055) STATS - GET, 16.3, 2
2018-11-20 14:31:53 (2589321099255) STATS - GET, 16.4, 1
2018-11-20 14:31:53 (2589321169255) STATS - GET, 16.5, 1
2018-11-20 14:31:53 (2589321239855) STATS - GET, 16.6, 0
2018-11-20 14:31:53 (2589321306955) STATS - GET, 16.7, 0
2018-11-20 14:31:53 (2589321384355) STATS - GET, 16.8, 1
2018-11-20 14:31:53 (2589321467955) STATS - GET, 16.9, 3
2018-11-20 14:31:53 (2589321528255) STATS - GET, 17.0, 1
2018-11-20 14:31:53 (2589321819455) STATS - GET, 17.1, 0
2018-11-20 14:31:53 (2589321913955) STATS - GET, 17.2, 3
2018-11-20 14:31:53 (2589321981555) STATS - GET, 17.3, 1
2018-11-20 14:31:53 (2589322048455) STATS - GET, 17.4, 0
2018-11-20 14:31:53 (2589322115255) STATS - GET, 17.5, 0
2018-11-20 14:31:53 (2589322279055) STATS - GET, 17.6, 0
2018-11-20 14:31:53 (2589322358155) STATS - GET, 17.7, 1
2018-11-20 14:31:53 (2589322424655) STATS - GET, 17.8, 0
2018-11-20 14:31:53 (2589322491255) STATS - GET, 17.9, 2
2018-11-20 14:31:53 (2589322557755) STATS - GET, 18.0, 0
2018-11-20 14:31:53 (2589322636055) STATS - GET, 18.1, 0
2018-11-20 14:31:53 (2589322722055) STATS - GET, 18.2, 0
2018-11-20 14:31:53 (2589322782455) STATS - GET, 18.3, 0
2018-11-20 14:31:53 (2589322841355) STATS - GET, 18.4, 0
2018-11-20 14:31:53 (2589322900155) STATS - GET, 18.5, 0
2018-11-20 14:31:53 (2589322958555) STATS - GET, 18.6, 0
2018-11-20 14:31:53 (2589323017155) STATS - GET, 18.7, 0
2018-11-20 14:31:53 (2589323077655) STATS - GET, 18.8, 0
2018-11-20 14:31:53 (2589323296156) STATS - GET, 18.9, 0
2018-11-20 14:31:53 (2589323355556) STATS - GET, 19.0, 0
2018-11-20 14:31:53 (2589323413556) STATS - GET, 19.1, 0
2018-11-20 14:31:53 (2589323474456) STATS - GET, 19.2, 0
2018-11-20 14:31:53 (2589323532356) STATS - GET, 19.3, 0
2018-11-20 14:31:53 (2589323590156) STATS - GET, 19.4, 0
2018-11-20 14:31:53 (2589323647956) STATS - GET, 19.5, 0
2018-11-20 14:31:53 (2589323705356) STATS - GET, 19.6, 0
2018-11-20 14:31:53 (2589330622256) STATS - GET, 19.7, 0
2018-11-20 14:31:53 (2589330730056) STATS - GET, 19.8, 0
2018-11-20 14:31:53 (2589330792756) STATS - GET, 19.9, 0
2018-11-20 14:31:53 (2589330849456) STATS - GET, 20.0, 0
2018-11-20 14:31:53 (2589330906156) STATS - GET, 20.1, 0
2018-11-20 14:31:53 (2589330963156) STATS - GET, 20.2, 0
2018-11-20 14:31:53 (2589331044556) STATS - GET, 20.3, 0
2018-11-20 14:31:53 (2589331120556) STATS - GET, 20.4, 0
2018-11-20 14:31:53 (2589331194256) STATS - GET, 20.5, 0
2018-11-20 14:31:53 (2589331269856) STATS - GET, 20.6, 1
2018-11-20 14:31:53 (2589331339456) STATS - GET, 20.7, 0
2018-11-20 14:31:53 (2589331403056) STATS - GET, 20.8, 1
2018-11-20 14:31:53 (2589331465856) STATS - GET, 20.9, 1
2018-11-20 14:31:53 (2589331557456) STATS - GET, 21.0, 1
2018-11-20 14:31:53 (2589331623056) STATS - GET, 21.1, 0
2018-11-20 14:31:53 (2589331855657) STATS - GET, 21.2, 0
2018-11-20 14:31:53 (2589331938557) STATS - GET, 21.3, 0
2018-11-20 14:31:53 (2589332020257) STATS - GET, 21.4, 2
2018-11-20 14:31:53 (2589332122957) STATS - GET, 21.5, 0
2018-11-20 14:31:53 (2589332249157) STATS - GET, 21.6, 1
2018-11-20 14:31:53 (2589332328957) STATS - GET, 21.7, 0
2018-11-20 14:31:53 (2589332392857) STATS - GET, 21.8, 0
2018-11-20 14:31:53 (2589332456457) STATS - GET, 21.9, 0
2018-11-20 14:31:53 (2589332543757) STATS - GET, 22.0, 1
2018-11-20 14:31:53 (2589332610457) STATS - GET, 22.1, 0
2018-11-20 14:31:53 (2589332676857) STATS - GET, 22.2, 0
2018-11-20 14:31:53 (2589332742057) STATS - GET, 22.3, 0
2018-11-20 14:31:53 (2589332839057) STATS - GET, 22.4, 0
2018-11-20 14:31:53 (2589332897557) STATS - GET, 22.5, 0
2018-11-20 14:31:53 (2589332954357) STATS - GET, 22.6, 0
2018-11-20 14:31:53 (2589333011757) STATS - GET, 22.7, 0
2018-11-20 14:31:53 (2589333068757) STATS - GET, 22.8, 0
2018-11-20 14:31:53 (2589333126557) STATS - GET, 22.9, 0
2018-11-20 14:31:53 (2589333180757) STATS - GET, 23.0, 0
2018-11-20 14:31:53 (2589333272757) STATS - GET, 23.1, 0
2018-11-20 14:31:53 (2589333360857) STATS - GET, 23.2, 1
2018-11-20 14:31:53 (2589333426357) STATS - GET, 23.3, 0
2018-11-20 14:31:53 (2589333489457) STATS - GET, 23.4, 0
2018-11-20 14:31:53 (2589340557157) STATS - GET, 23.5, 0
2018-11-20 14:31:53 (2589340783358) STATS - GET, 23.6, 0
2018-11-20 14:31:53 (2589340866258) STATS - GET, 23.7, 0
2018-11-20 14:31:53 (2589340933558) STATS - GET, 23.8, 0
2018-11-20 14:31:53 (2589341029458) STATS - GET, 23.9, 0
2018-11-20 14:31:53 (2589341175958) STATS - GET, 24.0, 0
2018-11-20 14:31:53 (2589341326558) STATS - GET, 24.1, 1
2018-11-20 14:31:53 (2589341393158) STATS - GET, 24.2, 0
2018-11-20 14:31:53 (2589341498558) STATS - GET, 24.3, 1
2018-11-20 14:31:53 (2589341579358) STATS - GET, 24.4, 2
2018-11-20 14:31:53 (2589341655758) STATS - GET, 24.5, 1
2018-11-20 14:31:53 (2589341718958) STATS - GET, 24.6, 2
2018-11-20 14:31:53 (2589341781458) STATS - GET, 24.7, 4
2018-11-20 14:31:53 (2589341875758) STATS - GET, 24.8, 3
2018-11-20 14:31:53 (2589341962458) STATS - GET, 24.9, 2
2018-11-20 14:31:53 (2589342018758) STATS - GET, 25.0, 4
2018-11-20 14:31:53 (2589342075858) STATS - GET, 25.1, 3
2018-11-20 14:31:53 (2589342132858) STATS - GET, 25.2, 3
2018-11-20 14:31:53 (2589342189758) STATS - GET, 25.3, 1
2018-11-20 14:31:53 (2589342246858) STATS - GET, 25.4, 4
2018-11-20 14:31:53 (2589342305658) STATS - GET, 25.5, 1
2018-11-20 14:31:53 (2589342365258) STATS - GET, 25.6, 2
2018-11-20 14:31:53 (2589342423158) STATS - GET, 25.7, 0
2018-11-20 14:31:53 (2589342479958) STATS - GET, 25.8, 3
2018-11-20 14:31:53 (2589342536958) STATS - GET, 25.9, 5
2018-11-20 14:31:53 (2589342592758) STATS - GET, 26.0, 1
2018-11-20 14:31:53 (2589342651658) STATS - GET, 26.1, 1
2018-11-20 14:31:53 (2589342711558) STATS - GET, 26.2, 1
2018-11-20 14:31:53 (2589342771958) STATS - GET, 26.3, 1
2018-11-20 14:31:53 (2589342829258) STATS - GET, 26.4, 3
2018-11-20 14:31:53 (2589342886658) STATS - GET, 26.5, 2
2018-11-20 14:31:53 (2589342943758) STATS - GET, 26.6, 1
2018-11-20 14:31:53 (2589343032258) STATS - GET, 26.7, 2
2018-11-20 14:31:53 (2589343105758) STATS - GET, 26.8, 1
2018-11-20 14:31:53 (2589343181858) STATS - GET, 26.9, 0
2018-11-20 14:31:53 (2589343242058) STATS - GET, 27.0, 0
2018-11-20 14:31:53 (2589343303558) STATS - GET, 27.1, 1
2018-11-20 14:31:53 (2589343365158) STATS - GET, 27.2, 2
2018-11-20 14:31:53 (2589343462658) STATS - GET, 27.3, 4
2018-11-20 14:31:53 (2589350739359) STATS - GET, 27.4, 0
2018-11-20 14:31:53 (2589350812459) STATS - GET, 27.5, 0
2018-11-20 14:31:53 (2589350868259) STATS - GET, 27.6, 0
2018-11-20 14:31:53 (2589350921459) STATS - GET, 27.7, 2
2018-11-20 14:31:53 (2589350973959) STATS - GET, 27.8, 2
2018-11-20 14:31:53 (2589351026459) STATS - GET, 27.9, 0
2018-11-20 14:31:53 (2589351076759) STATS - GET, 28.0, 4
2018-11-20 14:31:53 (2589351127959) STATS - GET, 28.1, 3
2018-11-20 14:31:53 (2589351179059) STATS - GET, 28.2, 0
2018-11-20 14:31:53 (2589351229959) STATS - GET, 28.3, 0
2018-11-20 14:31:53 (2589351281459) STATS - GET, 28.4, 0
2018-11-20 14:31:53 (2589351331959) STATS - GET, 28.5, 1
2018-11-20 14:31:53 (2589351382659) STATS - GET, 28.6, 0
2018-11-20 14:31:53 (2589351434759) STATS - GET, 28.7, 1
2018-11-20 14:31:53 (2589351486259) STATS - GET, 28.8, 2
2018-11-20 14:31:53 (2589351537759) STATS - GET, 28.9, 1
2018-11-20 14:31:53 (2589351587859) STATS - GET, 29.0, 1
2018-11-20 14:31:53 (2589351645959) STATS - GET, 29.1, 0
2018-11-20 14:31:53 (2589351699659) STATS - GET, 29.2, 0
2018-11-20 14:31:53 (2589351750559) STATS - GET, 29.3, 0
2018-11-20 14:31:53 (2589351802059) STATS - GET, 29.4, 1
2018-11-20 14:31:53 (2589351853959) STATS - GET, 29.5, 0
2018-11-20 14:31:53 (2589351906259) STATS - GET, 29.6, 0
2018-11-20 14:31:53 (2589351957859) STATS - GET, 29.7, 0
2018-11-20 14:31:53 (2589352036059) STATS - GET, 29.8, 1
2018-11-20 14:31:53 (2589352093859) STATS - GET, 29.9, 0
2018-11-20 14:31:53 (2589352144659) STATS - GET, 30.0, 8
2018-11-20 14:31:53 (2589352196059) STATS - GET, 30.1, 1
2018-11-20 14:31:53 (2589352247559) STATS - GET, 30.2, 7
2018-11-20 14:31:53 (2589352299159) STATS - GET, 30.3, 1
2018-11-20 14:31:53 (2589352378059) STATS - GET, 30.4, 4
2018-11-20 14:31:53 (2589352458959) STATS - GET, 30.5, 5
2018-11-20 14:31:53 (2589352527159) STATS - GET, 30.6, 1
2018-11-20 14:31:53 (2589352583859) STATS - GET, 30.7, 3
2018-11-20 14:31:53 (2589352642659) STATS - GET, 30.8, 1
2018-11-20 14:31:53 (2589352712659) STATS - GET, 30.9, 0
2018-11-20 14:31:53 (2589352775359) STATS - GET, 31.0, 1
2018-11-20 14:31:53 (2589352826259) STATS - GET, 31.1, 3
2018-11-20 14:31:53 (2589352879659) STATS - GET, 31.2, 2
2018-11-20 14:31:53 (2589352931059) STATS - GET, 31.3, 2
